https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1618918200,2021-04-20 11:30:00,BTC/USDT,55802.22791792,56384.51670846,55700.24824183,56278.04888936,1833366.48751553,32.6867489
1618916400,2021-04-20 11:00:00,BTC/USDT,55911.0,56108.19518969,55701.60559161,55794.0,1290909.4579767,23.09914628
1618914600,2021-04-20 10:30:00,BTC/USDT,55623.61488849,56211.0,55619.52711626,55919.70221317,3431365.54668586,61.34354427
1618912800,2021-04-20 10:00:00,BTC/USDT,54884.86399662,55894.72138683,54835.0,55595.37479639,5202532.33913293,93.82351468
1618911000,2021-04-20 09:30:00,BTC/USDT,55234.48171799,55320.67307043,54783.67049363,54862.14091898,2475790.00990362,44.96742169
1618909200,2021-04-20 09:00:00,BTC/USDT,55228.68973478,55420.56490676,54839.25,55234.48171799,2966038.7559854,53.81270942
1618907400,2021-04-20 08:30:00,BTC/USDT,54728.57147108,55334.57458848,54475.5161065,55211.00000001,3003254.81035618,54.66263793
1618905600,2021-04-20 08:00:00,BTC/USDT,54393.98574304,55059.35559922,54242.66496199,54715.84747297,2403798.24989927,43.90072689
1618903800,2021-04-20 07:30:00,BTC/USDT,53827.93753558,54385.74549139,53360.93110361,54356.64103552,3067631.65594322,56.99139861
1618902000,2021-04-20 07:00:00,BTC/USDT,53818.33682929,54224.93260251,53531.3980852,53837.35240417,1794884.58548316,33.30249175
1618900200,2021-04-20 06:30:00,BTC/USDT,54523.78821354,54672.00204735,53524.47308467,53824.96143802,4440645.65952975,82.29395532
1618898400,2021-04-20 06:00:00,BTC/USDT,54921.03831166,55144.1918,54508.35163605,54533.28803359,1417775.25390826,25.86413172
1618896600,2021-04-20 05:30:00,BTC/USDT,54987.50626278,55121.53756388,54779.00000001,54930.32338448,1564492.56355184,28.49525313
1618894800,2021-04-20 05:00:00,BTC/USDT,55259.1103605,55430.0,54878.18714698,54987.50626278,756599.09932524,13.71538754
1618893000,2021-04-20 04:30:00,BTC/USDT,54690.2776,55347.15803075,54650.89750951,55259.1103605,1882476.68840833,34.18809301
1618891200,2021-04-20 04:00:00,BTC/USDT,54486.88959473,55054.6967492,54388.58881017,54694.87384224,1058466.05621212,19.34512945
1618889400,2021-04-20 03:30:00,BTC/USDT,54204.35003183,54761.4088,54123.55290137,54538.20787262,1106168.21775028,20.29836165
1618887600,2021-04-20 03:00:00,BTC/USDT,54190.53846322,54384.86928763,54077.91267992,54172.2165,1111405.22223836,20.4846464
1618885800,2021-04-20 02:30:00,BTC/USDT,53914.70262607,54190.53846322,53558.86958907,54190.53846322,2443062.31578564,45.35231544
1618884000,2021-04-20 02:00:00,BTC/USDT,54758.8878684,54877.1994,53768.51669138,53951.92305859,1282684.19766199,23.63266322
1618882200,2021-04-20 01:30:00,BTC/USDT,54940.5983288,54940.59832881,54421.68367989,54741.90409072,1157946.29793707,21.17570682
1618880400,2021-04-20 01:00:00,BTC/USDT,54620.90777533,55146.41529902,54620.90777533,54968.88928931,811401.40430869,14.76932527
1618878600,2021-04-20 00:30:00,BTC/USDT,54750.1350455,54969.03431481,54350.0,54619.91461987,3020574.0593511,55.32255266
1618876800,2021-04-20 00:00:00,BTC/USDT,55622.57635884,55787.81733827,54704.56914683,54775.50555488,2904760.44481123,52.67709868
1618875000,2021-04-19 23:30:00,BTC/USDT,55562.06315274,55873.31940144,55551.67034105,55614.39142527,1019526.7572527,18.309847
1618873200,2021-04-19 23:00:00,BTC/USDT,55967.28680269,56181.0,55522.19452769,55551.67034107,517319.27528201,9.27154565
